
1, Ibere Isin ati Akunleko, Introit Hymns, 1, 12
2, Orin Ope ati Iyin,Praise & Thanksgiving Hymns, 13, 35
3,Orin Owuro, Morning Hymns, 36 , 45
4, Orin Ale, Night Hymns, 46 , 55
5, Ojo Ibi Kristi, Birth of Christ, 56 , 65
6, Ipadabo Jesu Kristi, Coming of Jesus Christ, 66 , 77
7, Lenti ati Ironupiwada, Lent and Repentance, 78 , 96
8, Ojo Isinmi Ope, Palm Sunday, 97 , 100
9, Ijiya ati Iku Jesu, Crucifixion and Death of Jesus, 101 , 104
10, Ajinde Jesu Oluwa, Resurrection of Jesus Christ, 105 , 118
11, Orin Ajodun Oluwa Temi Kii Saseti, My God Never Fails Hymns, 119 , 123
12, Orin Isegun, Victory Hymns,124 , 135
13, Agbara Emi Mimo Olorun, Power of Holy Spirit, 136 , 162
14, Opin Odun/Odun Titun, End of the Year/New Year, 163 , 167
15, Orin Igbeyawo, Marriage Hymns, 168 , 175
16, Orin Igbagbo, Faith Hymns, 176 , 195
17, Ike Eko Ojo Isinmi, Sunday School, 196 , 197
18, Oro Olorun, Word of God, 198 , 221
19, Ile Orun, Heavenly Home, 222 , 233
20, Adura, Prayer, 234 , 264
21, Baptisimu (Iribomi), Baptism (Emersion), 265 , 271
22, Ojo Oluwa, The Day of the Lord, 272 , 291
23, Ounje Ale Oluwa, Last Super, 292 , 302
24, Orin Ikore, Harvest, 303 , 315
25, Kiko tabi Sisi Ile Olorun, Foundation laying/Church Dedication, 316 , 323
26, Isinku, Burial, 324 , 339
27, Orin Akole, Additional Hymns, 340 , 350
28, Orin Omode,  Children Hymns, 351 , 369
29, Ise Isin, Worship, 370 , 390
30, Ijo Olorun, Church, 391 , 402
31, Ojo Awon Eniyan Mimo, Day of the Saint, 403 , 411
32, Omi Iye, Living Water, 412 , 414
33, Orin Isoji, Revival Hymns, 415 , 422
34, Orin Oniruru, Various Hymns, 423 , 451
35, Orin Akokun, Additional Hymns, 452 , 454
